pop rep sampled
FC-EVR8 B no
NL-WHV8 B no
CC-SHL8 B no
FS-LAT8 B NA
CC-ALV8 B no
CE-JAR8 B NA
FC-BOE8 B no
FC-MMA8 B NA
FC-LEM8 B no
CE-JVR8 B NA
NL-SCH8 B no
CE-TUL8 B no
FS-FRE8 B no
CE-SRK8 B no
CC-BAI8 B yes
FS-ARI8 B NA
CC-CUP8 B no
CE-JES8 B no
CE-SCT8 B no
CE-LLL8 B no
NL-CUI8 B NA
NL-LAR8 B yes
CC-PPR8 B no
CE-DUT8 B no
CC-FOO8 B no
FC-COD8 B no
CE-OAK8 B no
CE-SON8 B no
CE-JAM8 B no
FS-MER8 B NA
CC-CVR8 B no
FC-COU8 B no
CC-OKA8 B no
CC-SCR8 B no
CC-BYD8 B no
FC-MLB8 B no
NL-DOR8 B NA
CC-FBK8 B no
NL-HAR8 B no
FS-VID8 B no
CC-ALM8 B NA
FC-MLB9 B no
CE-SON9 B no
NL-HAR9 B yes
CE-COL9 B no
CC-BAI9 B no
CC-ALM9 B no
NL-TIL9 B yes
CC-SHL9 B no
CC-SCR9 B no
FS-ARI9 B NA
CE-JVR9 B NA
FC-COU9 B no
CC-CVR9 B no
CE-LGR9 B no
NL-WHV9 B no
CC-GUA9 B no
FS-LAT9 B NA
NL-LAR9 B no
CC-FOO9 B no
CE-SRK9 B no
CC-CUP9 B no
CC-FBK9 B no
CE-DUT9 B no
FS-MER9 B no
CC-PPR9 B no
CC-LEX9 B no
NL-CUI9 B NA
CC-OKA9 B no
CC-ALV9 B no
CE-TUL9 B no
FS-VID9 B no
FC-LEM9 B no
CE-SCT9 B yes
CC-BYD9 B no
CE-JAR9 B no
NL-DOR9 B no
FC-MMA9 B NA
FC-COD9 B no
FC-BOE9 B no
NL-SCH9 B no
FC-ISB9 B no
FS-FRE9 B NA
FC-EVR9 B no
CE-JES9 B no
CE-JAM9 B no
CE-OAK9 B no
CE-LLL9 B no
CE-CAR9 B no
CC-SHL10 B no
CE-COL10 B no
FC-ISB10 B yes
FS-VID10 B no
FC-LEM10 B yes
CC-GUA10 B no
FC-MMA10 B no
FS-LAT10 B NA
CE-JES10 B no
NL-DOR10 B no
CC-OKA10 B no
CE-JAR10 B no
CC-BAI10 B no
CC-SCR10 B no
CE-CAR10 B no
CC-ALV10 B no
CC-BYD10 B no
CE-JVR10 B NA
NL-LAR10 B no
CE-LGR10 B no
CC-PPR10 B no
FS-FRE10 B no
NL-TIL10 B no
FC-COU10 B yes
CE-SRK10 B no
FS-ARI10 B NA
CE-SCT10 B no
NL-CUI10 B yes
NL-SCH10 B no
CC-FOO10 B no
FC-MLB10 B no
CE-TUL11 B yes
FC-COD10 B yes
CC-CVR10 B no
CE-JAM10 B no
NL-HAR10 B no
CE-DUT10 B no
FC-BOE10 B no
NL-WHV10 B yes
CE-SON10 B no
CE-OAK10 B no
CC-LEX10 B no
CC-CUP10 B no
CC-ALM10 B no
FC-EVR10 B no
FS-MER10 B NA
CC-FBK10 B no
CE-LLL10 B no
PR-OUS1A A yes
PR-OUS1B B yes
PR-OUS1C C yes
PR-OUS1D D yes
PR-OUS1E E yes
PR-OUS1F F yes
PR-OUS1G G yes
PR-OUS1H H yes
